Parameter	Type	Unit	Description	Sources
can.worn.brake.linings.indicator.state	string	N/A	Vehicle parameter for worn brake linings indicator read from CAN bus	AVL ID 10429
car.remote.control.state	number	N/A	N/A	AVL ID 132, AVL ID 47
central.standup.status	boolean	N/A	Central stuandup up status: true - up, false - down	AVL ID 845
channel.id	number	N/A	ID of channel that received a message	N/A
charger.bms.timeout.status	boolean	N/A	Charger BMS COM timeout: true - not expired, false - expired	AVL ID 807
charger.control.mode	number	N/A	Charger control mode currently in use	AVL ID 806
charger.crc.violation.status	boolean	N/A	Charger CRC violation: true - violation happened, false - no violation	AVL ID 808
charger.current	number	amperes	Charger actual current	AVL ID 814
charger.energy	number	Wh	Charger actual energy	AVL ID 813
charger.fault.status	boolean	N/A	Charger internal fault status: true - no internal fault happened, false - internal fault happened	AVL ID 812
charger.mc.violation.status	boolean	N/A	Charger MC violation: true - violation happened, false - no violation	AVL ID 809
charger.mode	boolean	N/A	Selected charge mode, read from CAN: 0 - default, 1 - fast	AVL ID 802
charger.mode.state	number	N/A	Charger mode state	AVL ID 803
charger.plug.status	boolean	N/A	Charger plug status	AVL ID 817
charger.setpoint.current	number	amperes	Charger current setpoint	AVL ID 805
charger.setpoint.voltage	number	volts	Charger svoltage setpoint	AVL ID 804
charger.state	number	N/A	Charger state	AVL ID 810
charger.voltage	number	volts	Charger actual voltage	AVL ID 811
charge.time.remining	number	minutes	Remaining charge time	AVL ID 827
codec.id	number	N/A	Decimal representation for Teltonika Codec ID 1-byte, 0x8E = 142 for Codec 8 Extended.	N/A
command.type	number	N/A	Command type	N/A
control.module.voltage	number	volts	Supply voltage of the central control (system driving voltage)	AVL ID 366
counter.impulses	number	N/A	Impulses counter	AVL ID 4, AVL ID 4...5, AVL ID 483, AVL ID 76
counter.impulses.frequency	number	hz	Impulses counter frequency	AVL ID 10640, AVL ID 10642, AVL ID 622, AVL ID 623
crash.event	boolean	N/A	Crash event detected	AVL ID 247
crash.event.enum	number	N/A	Crash report reason code	AVL ID 247
crash.events.number	number	N/A	Crash event counter	AVL ID 317
custom	any	N/A	Any custom parameter	N/A
custom.user.id	number	N/A	Custom number defined as User ID	AVL ID 238, AVL ID 854
deadman.alarm.status	boolean	N/A	Man down is active and no movement for configured timeout	AVL ID 315
dead.reckoning.calibration.state	string	N/A	Dead Reckoning Calibration Status	AVL ID 1433
dead.reckoning.calibration.state.enum	number	N/A	Dead Reckoning Calibration Status value	AVL ID 1433
device.configuration.id	number	N/A	Configuration profile index	AVL ID 22
device.id	number	N/A	ID of device that received a message	N/A
device.imei	string	N/A	IMEI of the device	AVL ID 1161
device.name	string	N/A	Name of device that received a message	N/A
device.serial.number	string	N/A	Device serial number	AVL ID 339
device.temperature	number	celsius	Temperature of device	AVL ID 362
device.type.id	number	N/A	ID of device type of device that received a message	N/A
din	number	N/A	Digital inputs bitmask	AVL ID 1, AVL ID 1...2, AVL ID 1...4, AVL ID 2...3, AVL ID 262, AVL ID 4, Command type 0x06
distance.since.refuel	number	km	Calculated distance covered after the latest refueling	AVL ID 1443
door.open.status	boolean	N/A	Door open status	AVL ID 143, AVL ID 90
dout	number	N/A	Digital outputs bitmask	AVL ID 179, AVL ID 180, AVL ID 380, AVL ID 50, AVL ID 51
dout.overcurrent.status	boolean	N/A	Overcurrent status for digital output	AVL ID 841, AVL ID 842
driver.first.name	string	N/A	Driver first name	AVL ID 10518, AVL ID 10520
driver.last.name	string	N/A	Drvier lsat name	AVL ID 10519, AVL ID 10521
driver.name	string	N/A	Driver name	AVL ID 10518, AVL ID 10519, AVL ID 10520, AVL ID 10521
driving.state	number	N/A	Vehicle current driving direction state	AVL ID 830
dsm.distraction.event	boolean	N/A	Driver distraction event generated by Driver status monitoring system (DSM)	AVL ID 11701
dsm.driver.mask.event	boolean	N/A	Driver wearing mask event generated by Driver status monitoring system (DSM)	AVL ID 11706
dsm.driver.missing.event	boolean	N/A	Driver missing event generated by Driver status monitoring system (DSM)	AVL ID 11705
dsm.driver.phone.event	boolean	N/A	Driver using the phone event generated by Driver status monitoring system (DSM)	AVL ID 11703
dsm.fatigue.event	boolean	N/A	Driver fatigue event generated by Driver status monitoring system (DSM)	AVL ID 11700
dsm.seatbelt.event	boolean	N/A	Driver seatbelt event generated by Driver status monitoring system (DSM)	AVL ID 11713
dsm.smoking.event	boolean	N/A	Driver smoking event generated by Driver status monitoring system (DSM)	AVL ID 11704
dsm.yawning.event	boolean	N/A	Driver yawning event generated by Driver status monitoring system (DSM)	AVL ID 11702
eco.driving.event.duration	number	seconds	Duration of event that did generate Green driving	AVL ID 243, AVL ID 260
eco.driving.events.number	number	N/A	Average amount of events on some distance	AVL ID 10009, AVL ID 15
engine.ignition.on.duration	number	seconds	Duration when engine is on	AVL ID 449
engine.ignition.status	boolean	N/A	Engine ignition or ACC status	AVL ID 239, AVL ID 837
engine.motorhours	number	hours	Total calculated engine motorhours	AVL ID 104
error.type	number	N/A	Protocol-specific error identification number	AVL ID 341
