Parameter	Type	Unit	Description	Sources
absolute.acceleration	number	g	Module of accelerometer vector	AVL ID 23, AVL ID 254
acceleration.array	array	g	Array of objects with acceleration data by x, y, and z axis	AVL ID 257
accelerometer.calibration.state	number	N/A	Accelerometer calibration state	AVL ID 383
activity.state	number	N/A	Device activity state	AVL ID 395
actual.remaining.mileage	number	km	Actual remaining mileage	AVL ID 353
adas.collision.warning.event	boolean	N/A	Collision warning event generated by Advanced driver-assistance system (ADAS)	AVL ID 613
adas.distance.event	boolean	N/A	Unsafety distance event generated by Advanced driver-assistance system (ADAS)	AVL ID 610, AVL ID 612
adas.lane.departure.event	boolean	N/A	Lane departure event generated by Advanced driver-assistance system (ADAS)	AVL ID 605, AVL ID 606
adas.pedestrian.event	boolean	N/A	Pedestrian detect event generated by Advanced driver-assistance system (ADAS)	AVL ID 614
adas.traffic.sign.violation.event	boolean	N/A	Traffic sign violation event generated by Advanced driver-assistance system (ADAS)	AVL ID 619
agro.vehicle.state.bitmask	number	N/A	Agricultural machinery flags	AVL ID 124, AVL ID 39
ain	number	volts	Voltage on the analog input	AVL ID 10, AVL ID 11, AVL ID 19, AVL ID 245, AVL ID 6, AVL ID 839, AVL ID 840, AVL ID 9, AVL ID 9...10, Command type 0x06
alarm.event	boolean	N/A	Alarm event triggered	AVL ID 236, AVL ID 846
amber.alert.state	number	N/A	Amber Alert state. 0 - Turned Off. 1 - Turned On, count down timer started. 2 - Amber Alert On button pressed to restard active timer. 3 - Alarm. 4 - Amber Alert turned On when timer is set to 0 seconds	AVL ID 400
amber.alert.timeout	number	N/A	Amber Alert time-out configured value	AVL ID 401
available.status	boolean	N/A	Vehicle available status: true - available, false - not available	AVL ID 825
average.x.acceleration	number	g	Harsh acceleration event average accelerometer value on X-axis	AVL ID 259
average.y.acceleration	number	g	Harsh acceleration event average accelerometer value on Y-axis	AVL ID 259
average.z.acceleration	number	g	Harsh acceleration event average accelerometer value on Z-axis	AVL ID 259
barcode.id	string	N/A	Barcode ID	AVL ID 264
battery.capacity.full	number	Ah	Full battery capacity	AVL ID 829
battery.capacity.remaining	number	Ah	Remaining battery capacity	AVL ID 828
battery.charging.status	boolean	N/A	Battery charging status	AVL ID 347, AVL ID 826
battery.current	number	amperes	Battery current	AVL ID 68
battery.health	number	percentage	Battery health level (SoH)	AVL ID 823
battery.level	number	percentage	Internal battery level	AVL ID 113, AVL ID 142, AVL ID 152, AVL ID 824
battery.overvoltage.status	boolean	N/A	Battery overvoltage status (true - battery overvoltage, false - no battery overvoltage)	AVL ID 851
battery.regeneration.status	boolean	N/A	Battery regeneration status: true - disabled, false - enabled	AVL ID 848
battery.short.circuit	boolean	N/A	Battery short circuit (overcurrent) warning status: true - battery short circuit, false - no battery short circuit	AVL ID 852
battery.status	boolean	N/A	Battery on/off status: true - battery is on, false - battery is off	AVL ID 849
battery.temperature	number	celsius	Battery temperature	AVL ID 141, AVL ID 151, AVL ID 363, AVL ID 364
battery.temperature.status	boolean	N/A	Battery temperature status: true - temperature is over or under the normal, false - temperature is normal	AVL ID 847
battery.undervoltage.status	boolean	N/A	Battery undervoltage status: true - battery undervoltage, false - no battery undervoltage	AVL ID 850
battery.voltage	number	volts	Internal battery voltage	AVL ID 67
ble.1.custom	number	N/A	Custom indexed element for BLE sensor 1	AVL ID 331, AVL ID 463...466
ble.1.custom.payload.hex	string	N/A	Custom indexed element variable size payload for BLE sensor 1	AVL ID 331, AVL ID 463...466, AVL ID 713, AVL ID 729...732
ble.2.custom	number	N/A	Custom indexed element for BLE sensor 2	AVL ID 332, AVL ID 467...470
ble.2.custom.payload.hex	string	N/A	Custom indexed element variable size payload for BLE sensor 2	AVL ID 332, AVL ID 467...470, AVL ID 714, AVL ID 733...736
ble.3.custom	number	N/A	Custom indexed element for BLE sensor 3	AVL ID 333, AVL ID 471...474
ble.3.custom.payload.hex	string	N/A	Custom indexed element variable size payload for BLE sensor 3	AVL ID 333, AVL ID 471...474, AVL ID 715, AVL ID 737...740
ble.4.custom	number	N/A	Custom indexed element for BLE sensor 4	AVL ID 334, AVL ID 475...478
ble.4.custom.payload.hex	string	N/A	Custom indexed element variable size payload for BLE sensor 4	AVL ID 334, AVL ID 475...478, AVL ID 716, AVL ID 741...744
ble.beacons	array	N/A	Standard parameter names used:
*id* - beacon identification string. Usually it is beacon's UUID or MAC-address
*local_name* - Beacons's Local Name
*rssi* - BLE signal level. Units = dBm
*battery.voltage* - Beacon's battery voltage. Units = volts
*battery.level* - Beacon's battery level. Units = percentage
*temperature* - Beacon's temperature. Units = celsius	AVL ID 10500, AVL ID 10828, AVL ID 10829, AVL ID 10831, AVL ID 11317, AVL ID 385, AVL ID 548
ble.lls.fuel.level	number	N/A	Indexed BLE LLS fuel sensor value	AVL ID 721...724
ble.lock.battery.level	number	percentage	BLE (Bluetooth Low Energy) Electronic Lock battery level	AVL ID 872
ble.lock.status	boolean	N/A	BLE (Bluetooth Low Energy) Electronic lock is locked	AVL ID 871
ble.mac.address	string	N/A	BLE (Bluetooth Low Energy) MAC address	AVL ID 891, Command type 0x06
ble.nbl2.button.1.status	boolean	N/A	BLE RFID reader Netronix NBL-2 button 1 status (4 programmable button states)	AVL ID 455...458
ble.nbl2.button.2.status	boolean	N/A	BLE RFID reader Netronix NBL-2 button 2 status (4 programmable button states)	AVL ID 459...462
ble.nbl2.rfid	string	N/A	BLE RFID reader Netronix NBL-2 indexed RFID code read	AVL ID 451...454
ble.sensor.battery.level	number	percentage	BLE (Bluetooth Low Energy) sensor battery level	AVL ID 20, AVL ID 22...23, AVL ID 29, AVL ID 705...708
ble.sensor.battery.voltage	number	volts	BLE (Bluetooth Low Energy) sensor battery voltage	AVL ID 10824...10827, AVL ID 20, AVL ID 29
ble.sensor.battery.voltage.error.code	string	N/A	Indexed BLE battery voltage sensor error description	AVL ID 10824...10827
ble.sensor.frequency	number	N/A	Indexed BLE frequency sensor value	AVL ID 306...309, AVL ID 725...728
ble.sensor.humidity	number	percentage	BLE (Bluetooth Low Energy) sensor Humidity value	AVL ID 104, AVL ID 106, AVL ID 108, AVL ID 10804...10807, AVL ID 709...712, AVL ID 86
ble.sensor.humidity.error.code	string	N/A	BLE humidity sensor error description	AVL ID 104, AVL ID 106, AVL ID 108, AVL ID 10804...10807, AVL ID 86
ble.sensor.illuminance	number	lux	BLE (Bluetooth Low Energy) sensor illuminance	AVL ID 335...338, AVL ID 717...720
ble.sensor.low.battery.error.code	string	N/A	Indexed BLE low battery sensor error description	AVL ID 10820...10823
ble.sensor.low.battery.status	boolean	N/A	Indexed low battery indication BLE sensor	AVL ID 10820...10823
ble.sensor.magnet.count	number	N/A	Indexed magnet count value of BLE Sensor	AVL ID 10840...10843
ble.sensor.magnet.count.error.code	string	N/A	Indexed BLE magnet count sensor error description	AVL ID 10840...10843
ble.sensor.magnet.status	boolean	N/A	Indexed magnet state measured by BLE sensor	AVL ID 10808...10811
ble.sensor.magnet.status.error.code	string	N/A	Indexed BLE magnet sensor error description	AVL ID 10808...10811
ble.sensor.movement.count	number	N/A	Indexed movement count value of BLE Sensor	AVL ID 10836...10839
ble.sensor.movement.count.error.code	string	N/A	Indexed BLE movement count sensor error description	AVL ID 10836...10839
ble.sensor.movement.error.code	string	N/A	Indexed movement BLE sensor error code	AVL ID 10812...10815
ble.sensor.movement.status	boolean	N/A	Indexed movement state measured by BLE sensor	AVL ID 10812...10815
ble.sensor.pitch.angle	number	degrees	Indexed pitch angle measured by BLE sensor	AVL ID 10816...10819
ble.sensor.pitch.angle.error.code	string	N/A	Indexed BLE pitch angle sensor error description	AVL ID 10816...10819
ble.sensor.roll.angle	number	degrees	Indexed roll angle measured by BLE sensor	AVL ID 10832...10835
ble.sensor.roll.angle.error.code	string	N/A	Indexed BLE roll angle sensor error description	AVL ID 10832...10835
ble.sensor.temperature	number	celsius	BLE (Bluetooth Low Energy) sensor Temperature value	AVL ID 10800...10803, AVL ID 25, AVL ID 25...28, AVL ID 26...28, AVL ID 701...704
ble.sensor.temperature.error.code	string	N/A	BLE temperature sensor error description	AVL ID 10800...10803, AVL ID 25...28
bluetooth.state.enum	number	N/A	Bluetooth state: 0 - BT is disabled; 1 - BT Enabled, not device connected; 2 - Device connected, BTv3 Only; 3 - Device connected, BLE only; 4 - Device connected, BLE + BT	AVL ID 263
button.action.type	number	N/A	Button Action type: 1 - 1 click; 2 - 2 clicks; 3 - long click	AVL ID 389
button.id	number	N/A	The number of the button pressed	AVL ID 389
button.pressed.status	boolean	N/A	Any operate button in the car was put	AVL ID 132, AVL ID 47
buzzer.alarm.status	boolean	N/A	Buzzer alarm status	AVL ID 345
cable.connected.status	boolean	N/A	Charging cable connected status	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 914
camera.report.reason	string	N/A	Camera report reason	AVL ID 498
camera.report.reason.enum	number	N/A	Camera report reason ID	AVL ID 498
camera.state	string	N/A	Front camera ping transmission and TF status checking parameters ID	AVL ID 499
camera.state.enum	number	N/A	Front camera ping transmission and TF status checking parameters ID. Number representation.	AVL ID 499
camera.status	boolean	N/A	Camera connected status	N/A
can.abs.failure.indicator.state	string	N/A	Vehicle parameter for anti-lock brake system failure indicator read from CAN	AVL ID 10429
can.abs.failure.indicator.status	boolean	N/A	ABS failure indicator status read from CAN	AVL ID 123, AVL ID 38, AVL ID 519
can.absolute.fuel.rail.pressure	number	kPa	Absolute fuel rail pressure	AVL ID 56
can.absolute.load	number	percentage	Absolute load value - the normalized value of air mass per intake stroke, read from CAN	AVL ID 52
can.abs.trailer.indicator.state	string	N/A	Vehicle parameter for ABS trailer indicator read from CAN	AVL ID 10431
can.acceleration.rate.limit.state	number	N/A	Vehicle acceleration rate limit status	AVL ID 939
can.accelerator.pedal.kickdown.switch.state	number	N/A	Accelerator pedal kickdown switch status	AVL ID 931
can.accelerator.pedal.low.idle.switch.state	number	N/A	Accelerator pedal low idle switch status, indexed parameter	AVL ID 930, AVL ID 933
can.accelerator.pedal.position	number	percentage	Accelerator pedal position read from CAN	AVL ID 934, AVL ID 938
can.activated.batteries	number	N/A	Activated batteries from CAN bus	AVL ID 1160
can.actual.engine.additional.torque	number	N/A	Actual engine additional torque in percent of the reference engine torque (fractional)	AVL ID 946
can.actual.engine.torque	number	percentage	Actual calculated output torque of the engine	AVL ID 948
can.adaptive.cruise.control.indicator.state	string	N/A	Vehicle parameter for adaptive cruise control indicator read from CAN	AVL ID 10431
can.adblue.level	number	percentage	AdBlue (diesel exhaust fluid) level read from CAN	AVL ID 10455, AVL ID 111, AVL ID 19
can.adblue.level.indicator.state	string	N/A	Vehicle parameter for AdBlue level indicator read from CAN	AVL ID 10430
can.adblue.level.low.indicator.status	boolean	N/A	Low AdBlue level indicator from CAN bus	AVL ID 519
can.adblue.tempering.indicator.state	string	N/A	Vehicle parameter for AdBlue tempering indicator read from CAN	AVL ID 13259
can.adblue.volume	number	liters	AdBlue (diesel exhaust fluid) volume read from CAN	AVL ID 112, AVL ID 20
can.additional.front.lights.status	boolean	N/A	Additional front lights turned on status, read from CAN	AVL ID 518
can.additional.rear.lights.status	boolean	N/A	Additional rear lights turned on status, read from CAN	AVL ID 518
can.airbag.indicator.state	string	N/A	Vehicle parameter for airbag indicator read from CAN	AVL ID 10431
can.airbag.indicator.status	boolean	N/A	Airbag indicator status read from CAN	AVL ID 123, AVL ID 38, AVL ID 519
can.air.condition.status	boolean	N/A	CAN air conditioning is on	AVL ID 123, AVL ID 38, AVL ID 518
can.air.filter.clogged.indicator.state	string	N/A	Vehicle parameter for air filter clogged indicator read from CAN	AVL ID 10431
can.air.filter.plugged.indicator.status	boolean	N/A	Air filter is plugged indicator from CAN bus	AVL ID 519
can.alternator.current	number	amperes	Measure of electrical current flow from the alternator	AVL ID 1053
can.ambient.air.temperature	number	celsius	CAN ambient air temperature	AVL ID 1188, AVL ID 128, AVL ID 53
can.articulation.indicator.state	string	N/A	Vehicle parameter for articulation indicator read from CAN	AVL ID 10430
can.automatic.retarder.status	boolean	N/A	Automatic retarder status, read from CAN	AVL ID 123, AVL ID 38, AVL ID 518
can.auxiliary.air.pressure.indicator.state	string	N/A	Vehicle parameter for auxiliary air pressure indicator read from CAN	AVL ID 10431
can.available.engine.torque	number	percentage	Actual maximum available engine - percent torque	AVL ID 943
can.average.fuel.economy	number	km/liters	CAN average fuel economy	AVL ID 1037
can.axle.weight	number	kg	Weight on the axle read from CAN	AVL ID 118...122, AVL ID 26...29, AVL ID 32, AVL ID 89...103
can.barometric.pressure	number	kPa	Absolute barometric pressure read from CAN	AVL ID 50
can.battery1.current	number	amperes	Battery 1 current from CAN bus	AVL ID 1163
can.battery1.power.stage.temperature	number	celsius	Battery 1 power stage temp from CAN bus	AVL ID 1168
can.battery1.remaining.capacity	number	Ah	Battery 1 remaining capacity from CAN bus	AVL ID 1169
can.battery1.soc	number	N/A	Battery 1 SoC from CAN bus	AVL ID 1165
can.battery1.state.enum	number	N/A	Battery 1 state from CAN bus	AVL ID 1164
can.battery1.temperature	number	celsius	Indexed battery 1 temperature from CAN bus	AVL ID 1166, AVL ID 1167
can.battery1.voltage	number	volts	Battery 1 voltage from CAN bus	AVL ID 1162
can.battery2.current	number	amperes	Battery 2 current from CAN bus	AVL ID 1171
can.battery2.power.stage.temperature	number	celsius	Battery 2 power stage temp from CAN bus	AVL ID 1176
can.battery2.remaining.capacity	number	Ah	Battery 2 remaining capacity from CAN bus	AVL ID 1177
can.battery2.soc	number	N/A	Battery 2 SoC from CAN bus	AVL ID 1173
can.battery2.state.enum	number	N/A	Battery 2 state from CAN bus	AVL ID 1172
can.battery2.temperature	number	celsius	Indexed battery 2 temperature from CAN bus	AVL ID 1174, AVL ID 1175
can.battery2.voltage	number	volts	Battery 2 voltage from CAN bus	AVL ID 1170
can.battery.charging.indicator.state	string	N/A	Vehicle parameter for battery charging condition indicator read from CAN	AVL ID 10428
can.battery.error.code	string	N/A	Battery error code read from CAN	AVL ID 1178, AVL ID 1179
can.battery.indicator.status	boolean	N/A	Battery indicator status read from CAN	AVL ID 123, AVL ID 38, AVL ID 519
can.battery.pack.cooling.indicator.state	string	N/A	Vehicle parameter for battery pack cooling indicator read from CAN	AVL ID 13259
can.battery.pack.indicator.state	string	N/A	Vehicle parameter for battery pack indicator read from CAN	AVL ID 13259
can.battery.pack.temperature.indicator.state	string	N/A	Vehicle parameter for battery pack temperature indicator read from CAN	AVL ID 13259
can.battery.voltage	number	volts	Battery voltage read from CAN	AVL ID 1184, AVL ID 168
can.brake.failure.indicator.state	string	N/A	Vehicle parameter for brake failure/brake system malfunction indicator read from CAN	AVL ID 10428
can.brake.lights.indicator.state	string	N/A	Vehicle parameter for brake lights indicator read from CAN	AVL ID 10430
can.brake.pedal.level	number	percentage	Brake pedal push level read from CAN	AVL ID 1201, AVL ID 357
can.brake.pressure	number	kPa	Brake application pressure from CAN bus	AVL ID 1120
can.brake.system.filter.clogged.indicator.status	boolean	N/A	Clogged brake system filter indicator from CAN bus	AVL ID 519
can.bus.stop.brake.indicator.state	string	N/A	Vehicle parameter for bus stop brake indicator read from CAN	AVL ID 10430
can.car.closed.remote.status	boolean	N/A	Car closed by factory's remote control, read from CAN	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 917
can.car.closed.status	boolean	N/A	Car closed status, read from CAN	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 662
can.car.closing.remote.event	boolean	N/A	Signal of closing with factory remote control was sent, read from CAN	AVL ID 517, AVL ID 920
can.car.opening.remote.event	boolean	N/A	Signal of opening with factory remote control was sent, read from CAN	AVL ID 517, AVL ID 921
can.car.triple.closing.remote.event	boolean	N/A	Signal of closing with factory remote control was sent 3 times, read from CAN	AVL ID 517, AVL ID 925
can.catalyst.differential.pressure	number	kPa	Exhaust differential pressure measured between the intake and exhaust of a diesel oxidation catalyst in exhaust bank; parameter is indexed by bank number	AVL ID 955
can.catalyst.intake.temperature	number	celsius	Temperature of engine combustion byproducts entering the diesel oxidation catalyst in exhaust bank; parameter is indexed by bank number	AVL ID 953
can.catalyst.outlet.temperature	number	celsius	Temperature of engine combustion byproducts leaving the diesel oxidation catalyst exhaust in exhaust bank; parameter is indexed by bank number	AVL ID 954
can.central.differential.4hi.status	boolean	N/A	Central differential 4HI locked status, read from CAN	AVL ID 518
can.central.differential.4lo.status	boolean	N/A	Central differential with reductor 4LO locked status, read from CAN	AVL ID 518
can.check.engine.indicator.status	boolean	N/A	Check engine indicator status read from CAN	AVL ID 123, AVL ID 38
can.cleaning.fan.control.status	boolean	N/A	Cleaning fan control status: true - on, false - off, read from CAN	AVL ID 520
can.cluster.current	number	amperes	Cluster current from CAN bus	AVL ID 1155
can.cluster.error.code	string	N/A	Cluster error code from CAN bus in hex form	AVL ID 1180
can.cluster.soc	number	percentage	Cluster SoC from CAN bus	AVL ID 1148
can.cluster.state.enum	number	N/A	Cluster state from CAN bus	AVL ID 1147
can.cluster.voltage	number	volts	Cluster voltage from CAN bus	AVL ID 1154
can.cng.consumed	number	kg	Consumed of compressed natural gas read from CAN	AVL ID 233
can.cng.level	number	percentage	Compressed natural gas level read from CAN	AVL ID 234
can.cng.level.low.indicator.status	boolean	N/A	Low CNG level indicator from CAN bus	AVL ID 519
can.cng.status	boolean	N/A	Compressed natural gas status read from CAN	AVL ID 232, AVL ID 517, AVL ID 903
can.com.error.status	boolean	N/A	COM Error status from CAN bus	AVL ID 1129
can.commanded.egr	number	percentage	Commanded EGR value read from CAN	AVL ID 46
can.connection.state	number	N/A	The car synchronization state	AVL ID 132, AVL ID 47, AVL ID 517
can.control.module.voltage	number	volts	Control module voltage read from CAN	AVL ID 51
can.coolant.level.low.indicator.status	boolean	N/A	Coolant level low indicator status read from CAN	AVL ID 123, AVL ID 38, AVL ID 519
can.coolant.liquid.indicator.status	boolean	N/A	Coolant liquid temperature / level indicator from CAN bus	AVL ID 519
can.cooling.air.conditioning.indicator.state	string	N/A	Vehicle parameter for cooling air conditioning indicator read from CAN	AVL ID 10428
can.corn.header.connected.status	boolean	N/A	Corn header connected status, read from CAN	AVL ID 520
can.counted.engine.motorhours	number	N/A	Engine Worktime counted by the IoT device from 0 starting from the connection of the CAN adapter or CAN device	AVL ID 103
can.cruise.control.state	number	N/A	Cruise control state read from CAN	AVL ID 1195
can.cruise.status	boolean	N/A	CAN cruise control is active	AVL ID 123, AVL ID 38, AVL ID 518, AVL ID 81
can.data.frame	string	N/A	CAN data frame value in HEX representation	AVL ID 900...929
can.direct.fuel.rail.pressure	number	kPa	Fuel rail gauge pressure for diesel or gasoline direct injection	AVL ID 45
can.disabled.persons.indicator.state	string	N/A	Vehicle parameter for provision for disabled/handicapped persons indicator read from CAN	AVL ID 10428
can.discharge.time	number	seconds	Time to empty from CAN bus	AVL ID 1145
can.distance.since.codes.cleared	number	km	Distance traveled since codes cleared	AVL ID 49
can.dpf.thermal.management.state	number	N/A	DPF thermal management active	AVL ID 941
can.drive.gear.status	boolean	N/A	CAN drive gear is on	AVL ID 517, AVL ID 927
can.driver.demand.engine.torque	number	percentage	Requested torque output of the engine by the driver	AVL ID 947
can.driver.seatbelt.indicator.status	boolean	N/A	Driver's seatbelt indicator status read from CAN	AVL ID 123, AVL ID 38
can.driver.seatbelt.status	boolean	N/A	Driver's seatbelt fastened status, read from CAN	AVL ID 1194, AVL ID 518
can.dtc	array	N/A	Diagnostic trouble code array read from CAN
May content list of OBDII codes or list of objects with codes.
Standard object parameter names used:
*standard* - Protocol standard (J1939, J1708(J1587), OBDII)
*mid* - Message Identifier (J1708)
*sid* - Subsystem Identifier (J1708)
*fmi* - Failure Mode Identifier (J1939, J1708)
*spn* - Suspect Parameter Number (J1939)
*sa* - Source Address (J1939, OBDII)
*oc* - Occurrence Count (J1939)
*cm* - Conversion Method (J1939)
*status* - Status of error code (active, pending, historical, permanent)	AVL ID 10493, AVL ID 10494, AVL ID 10495, AVL ID 10496, AVL ID 281, AVL ID 282
can.dtc.number	number	N/A	Number of diagnostic trouble codes	AVL ID 1182, AVL ID 160, AVL ID 176, AVL ID 30
can.dual.fuel.status	boolean	N/A	Engine working on dual fuel status, read from CAN bus	AVL ID 1083
can.dynamic.ignition.status	boolean	N/A	Dynamic ignition is ON, read from CAN	AVL ID 132, AVL ID 47
can.ear.auger.speed.status	boolean	N/A	Ear auger speed normal status, read from CAN: true - Ok, false - below normal	AVL ID 520
can.ebs.indicator.state	string	N/A	Vehicle parameter for EBS indicator read from CAN	AVL ID 10431
can.ebs.trailer.indicator.state	string	N/A	Vehicle parameter for EBS trailer indicator read from CAN	AVL ID 10431
can.egr.error	number	percentage	EGR Error read from CAN	AVL ID 47
can.electronic.power.control.status	boolean	N/A	Electronic power control status, read from CAN	AVL ID 123, AVL ID 38
can.emergency.braking.system.indicator.state	string	N/A	Vehicle parameter for advanced emergency braking system indicator read from CAN	AVL ID 10431
can.engine.compartment.temperature.indicator.state	string	N/A	Vehicle parameter for engine compartment temperature indicator read from CAN	AVL ID 10430
can.engine.coolant.level	number	percentage	Engine coolant level read from CAN	AVL ID 1197
can.engine.coolant.level.indicator.state	string	N/A	Vehicle parameter for engine coolant level indicator read from CAN	AVL ID 10429
can.engine.coolant.pressure	number	kPa	Engine coolant pressure	AVL ID 1198
can.engine.coolant.temperature	number	celsius	Engine coolant temperature read from CAN	AVL ID 1002, AVL ID 127, AVL ID 32
can.engine.coolant.temperature.indicator.state	string	N/A	Vehicle parameter for engine coolant temperature indicator read from CAN	AVL ID 10428
can.engine.emission.failure.indicator.state	string	N/A	Vehicle parameter for engine emission system failure (MIL) indicator read from CAN	AVL ID 10430
can.engine.emission.filter.indicator.state	string	N/A	Vehicle parameter for engine emission filter (soot filter) indicator read from CAN	AVL ID 13259
can.engine.fuel.rate	number	liters/h	Engine fuel rate read from CAN	AVL ID 1035
can.engine.ignition.status	boolean	N/A	CAN engine ignition status	AVL ID 1178, AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 898
can.engine.intercooler.temperature	number	celsius	Temperature of liquid found in the intercooler located after the turbocharger	AVL ID 1006
can.engine.load	number	percentage	Engine percent load at current speed	AVL ID 1189, AVL ID 936
can.engine.load.level	number	percentage	Calculated engine load level read from CAN	AVL ID 114, AVL ID 23, AVL ID 31, AVL ID 85
can.engine.lock.status	boolean	N/A	Engine lock status read from CAN	AVL ID 517, AVL ID 907
can.engine.maximum.power.support.state	number	N/A	Momentary engine maximum power enable feedback	AVL ID 940
can.engine.mil.indicator.state	string	N/A	Vehicle parameter for engine/MIL indicator read from CAN	AVL ID 10429
can.engine.motorhours	number	hours	Total engine motorhours (engine work time) read from CAN	AVL ID 102, AVL ID 103, AVL ID 1177, AVL ID 14, AVL ID 15, AVL ID 991
can.engine.oil.filter.plugged.indicator.status	boolean	N/A	Engine oil filter plugged indicator from CAN bus	AVL ID 519
can.engine.oil.indicator.state	string	N/A	Vehicle parameter for engine oil indicator read from CAN	AVL ID 10428
can.engine.oil.level	number	percentage	Engine oil level read from CAN	AVL ID 235
can.engine.oil.level.indicator.state	string	N/A	Vehicle parameter for engine oil level indicator read from CAN	AVL ID 10429
can.engine.oil.pressure	number	kPa	CAN Engine oil pressure	AVL ID 1193
can.engine.oil.temperature	number	celsius	Engine oil temperature read from CAN	AVL ID 1191, AVL ID 58
can.engine.oil.temperature.high.indicator.status	boolean	N/A	Too high engine oil temperature indicator from CAN bus	AVL ID 519
can.engine.oil.temperature.indicator.state	string	N/A	Vehicle parameter for engine oil temperature indicator read from CAN	AVL ID 10429
can.engine.rpm	number	rpm	Engine RPM read from CAN	AVL ID 1130, AVL ID 35, AVL ID 36, AVL ID 85, AVL ID 88, AVL ID 949
can.engine.run.time	number	seconds	Run time since engine start read from CAN	AVL ID 42
can.engine.temperature	number	celsius	Engine temperature read from CAN	AVL ID 115, AVL ID 25, AVL ID 32
can.engine.torque.mode	number	N/A	Engine torque mode	AVL ID 945
can.engine.turbocharger.oil.temperature	number	celsius	Temperature of the turbocharger lubricant	AVL ID 1005
can.engine.working.status	boolean	N/A	Engine is working, read from CAN	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 900
can.epc.indicator.status	boolean	N/A	EPC (Electronic Power Control) indicator status from CAN bus	AVL ID 519
can.eps.indicator.status	boolean	N/A	Electric power steering indicator status, reaf from CAN	AVL ID 123, AVL ID 38, AVL ID 519
can.equivalence.ratio	number	N/A	Fuel-air commanded equivalence ratio read from CAN	AVL ID 541
can.esc.indicator.state	string	N/A	Vehicle parameter for ESC indication read from CAN	AVL ID 10430
can.esc.switched.off.indicator.state	string	N/A	Vehicle parameter for ESC switched off indicator read from CAN	AVL ID 10431
can.esp.indicator.status	boolean	N/A	Electronic stability program indicator status, read from CAN	AVL ID 123, AVL ID 38, AVL ID 519
can.esp.status	boolean	N/A	CAN ESP warning is on	AVL ID 123, AVL ID 38, AVL ID 519
can.factory.armed.status	boolean	N/A	Factory armed status, read from CAN	AVL ID 132, AVL ID 47, AVL ID 517, AVL ID 926
can.fap.indicator.status	boolean	N/A	FAP indicator status from CAN bus	AVL ID 519
can.faulty.batteries	number	N/A	Faulty batteries from CAN bus	AVL ID 1161
can.feeder.reverse.status	boolean	N/A	Feeder revers switched on status, read from CAN	AVL ID 520
can.feeder.speed.status	boolean	N/A	Feeder speed normal status, read from CAN: true - Ok, false - below normal	AVL ID 520
can.front.differential.status	boolean	N/A	Front differential locked status, read from CAN	AVL ID 518
can.front.fog.light.indicator.state	string	N/A	Vehicle parameter for front fog light indicator read from CAN	AVL ID 10428
can.front.fog.lights.status	boolean	N/A	CAN front fog lights are on	AVL ID 123, AVL ID 38, AVL ID 518
can.front.hydraulic.status	boolean	N/A	Front hydraulic turned on status. read from CAN	AVL ID 520
can.front.left.door.status	boolean	N/A	CAN front left door is opened	AVL ID 132, AVL ID 143, AVL ID 47, AVL ID 517, AVL ID 654, AVL ID 90
can.front.passenger.seatbelt.status	boolean	N/A	Fron passenger's seatbelt fastened status, read from CAN	AVL ID 518
can.front.passenger.status	boolean	N/A	Front pasenger is present status, read from CAN	AVL ID 518
can.front.pto.status	boolean	N/A	Front power take-off status turned on status, read from CAN	AVL ID 520
can.front.right.door.status	boolean	N/A	CAN front right door is opened	AVL ID 132, AVL ID 143, AVL ID 47, AVL ID 517, AVL ID 655, AVL ID 90
can.front.three.point.hitch.status	boolean	N/A	Front three-point hitch turned on status, read from CAN	AVL ID 520
can.fuel.consumed	number	liters	Fuel volume totally consumed by vehicle read from CAN	AVL ID 107, AVL ID 1180, AVL ID 17, AVL ID 33, AVL ID 83, AVL ID 86, AVL ID 996
can.fuel.consumption	number	liters/h	Engine fuel rate read from CAN	AVL ID 135, AVL ID 60
can.fuel.economy	number	km/liters	CAN instantaneous fuel economy	AVL ID 1036, AVL ID 1187, AVL ID 136
can.fuel.filter.plugged.indicator.status	boolean	N/A	Fuel filter is plugged indicator from CAN bus	AVL ID 519
can.fuel.filter.pressure.indicator.state	string	N/A	Vehicle parameter for fuel filter differential pressure indicator read from CAN	AVL ID 10431
can.fuel.idle.consumed	number	liters	Fuel volume totally consumed during idling state of the vehicle read from CAN	AVL ID 1185
can.fuel.injection.timing	number	degrees	Fuel injection timing read from CAN	AVL ID 59
can.fuel.level	number	percentage	Fuel level in tank read from CAN	AVL ID 1066, AVL ID 1070, AVL ID 1183, AVL ID 37, AVL ID 48, AVL ID 89
can.fuel.level.indicator.state	string	N/A	Vehicle parameter for fuel level indicator read from CAN	AVL ID 10428
can.fuel.level.low.indicator.status	boolean	N/A	Low fuel level indicator status, read from CAN	AVL ID 123, AVL ID 38
can.fuel.low.indicator.status	boolean	N/A	CAN low fuel indicator is on	AVL ID 519
can.fuel.pressure	number	kPa	Fuel pressure read from CAN	AVL ID 34
